GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trees,trees,Node,0,12,0,0,0,5,0,1,0,1
trees,trees,TreeOperations,0,114,0,14,0,30,0,12,0,5
